"transectID" "date" "species" "indivID" "perpDist_m" "clusterSize" "flowers/fruit" "no flowers/fruit" "heightClass" "section" "notes" "obsID"
"209" 26205 2021-11-04 "Stackhousia monogyna" 92 0.31 1 0 NA NA 2 "no notes" 209
"210" 26205 2021-11-04 "Stackhousia monogyna" 93 0.34 1 0 NA NA 2 "no notes" 210
"211" 26205 2021-11-04 "Stackhousia monogyna" 94 0.45 1 0 NA NA 2 "no notes" 211
"212" 26205 2021-11-04 "Stackhousia monogyna" 95 0.72 1 0 NA NA 2 "no notes" 212
"213" 26205 2021-11-04 "Stackhousia monogyna" 96 0.76 1 0 NA NA 2 "no notes" 213
"214" 26830 2021-11-02 "Stackhousia monogyna" 104 1.33 NA 2 NA NA 2 NA 214
"215" 26830 2021-11-02 "Stackhousia monogyna" 102 0.61 NA 2 NA NA 2 NA 215
"216" 26830 2021-11-02 "Stackhousia monogyna" 103 1.21 NA 2 NA NA 2 NA 216
"217" 26830 2021-11-02 "Stackhousia monogyna" 105 1.48 NA 1 NA NA 2 NA 217
"218" 26830 2021-11-02 "Stackhousia monogyna" 101 0.01 NA 0 NA NA 2 NA 218
"219" 26830 2021-11-02 "Stackhousia monogyna" 11 0.35 1 1 NA NA 1 NA 219
"220" 26830 2021-11-02 "Stackhousia monogyna" 12 0.06 1 0 NA NA 1 NA 220
"221" 26830 2021-11-02 "Stackhousia monogyna" 9 0.35 1 1 NA NA 1 NA 221
"222" 26830 2021-11-02 "Stackhousia monogyna" 10 0.52 1 0 NA NA 1 NA 222
"223" 26830 2021-11-02 "Stackhousia monogyna" 15 0.26 1 1 NA NA 1 NA 223
"224" 26830 2021-11-02 "Stackhousia monogyna" 16 0.16 1 1 NA NA 1 NA 224
"225" 26830 2021-11-02 "Stackhousia monogyna" 13 0.78 1 0 NA NA 1 NA 225
"226" 26830 2021-11-02 "Stackhousia monogyna" 14 0.68 1 0 NA NA 1 NA 226
"227" 26830 2021-11-02 "Stackhousia monogyna" 19 0.57 1 1 NA NA 1 NA 227
"228" 26830 2021-11-02 "Stackhousia monogyna" 20 0.08 1 0 NA NA 1 NA 228
"229" 26830 2021-11-02 "Stackhousia monogyna" 21 0.52 1 1 NA NA 1 NA 229
"230" 26830 2021-11-02 "Stackhousia monogyna" 22 1.07 1 1 NA NA 1 NA 230
"231" 26830 2021-11-02 "Stackhousia monogyna" 23 1.08 1 2 NA NA 1 NA 231
"232" 26830 2021-11-02 "Stackhousia monogyna" 24 1 1 1 NA NA 1 NA 232
"233" 26830 2021-11-02 "Stackhousia monogyna" 25 1.21 1 0 NA NA 1 NA 233
"234" 26830 2021-11-02 "Stackhousia monogyna" 26 1.97 1 1 NA NA 1 NA 234
"235" 26830 2021-11-02 "Stackhousia monogyna" 27 1.34 1 1 NA NA 1 NA 235
"236" 26830 2021-11-02 "Stackhousia monogyna" 81 1.37 NA 2 NA NA 1 NA 236
"237" 26830 2021-11-02 "Stackhousia monogyna" 82 1.19 NA 1 NA NA 1 NA 237
"238" 26830 2021-11-02 "Stackhousia monogyna" 17 0.1 1 1 NA NA 1 NA 238
"239" 26830 2021-11-02 "Stackhousia monogyna" 18 0.19 1 0 NA NA 1 NA 239
"240" 26830 2021-11-02 "Stackhousia monogyna" 5 0.27 1 1 NA NA 1 NA 240
"241" 26830 2021-11-02 "Stackhousia monogyna" 6 0.09 1 0 NA NA 1 NA 241
"242" 26830 2021-11-02 "Stackhousia monogyna" 7 0.44 1 0 NA NA 1 NA 242
"243" 26830 2021-11-02 "Stackhousia monogyna" 8 0.08 1 1 NA NA 1 NA 243
"244" 26830 2021-11-02 "Stackhousia monogyna" 89 1.05 NA 1 NA NA 2 NA 244
"245" 26830 2021-11-02 "Stackhousia monogyna" 90 1.07 NA 1 NA NA 2 NA 245
"246" 26830 2021-11-02 "Stackhousia monogyna" 91 0.92 NA 1 NA NA 2 NA 246
"247" 26830 2021-11-02 "Stackhousia monogyna" 92 1.21 NA 2 NA NA 2 NA 247
"248" 26830 2021-11-02 "Stackhousia monogyna" 80 1.85 NA 2 NA NA 1 NA 248
"249" 26830 2021-11-02 "Stackhousia monogyna" 94 1.6 NA 2 NA NA 2 NA 249
"250" 26830 2021-11-02 "Stackhousia monogyna" 95 1.94 NA 1 NA NA 2 NA 250
"251" 26830 2021-11-02 "Stackhousia monogyna" 96 1.87 NA 1 NA NA 2 NA 251
"252" 26830 2021-11-02 "Stackhousia monogyna" 97 1.85 NA 1 NA NA 2 NA 252
"253" 26830 2021-11-02 "Stackhousia monogyna" 98 1.45 NA 0 NA NA 2 NA 253
"254" 26830 2021-11-02 "Stackhousia monogyna" 99 1.28 NA 2 NA NA 2 NA 254
"255" 26830 2021-11-02 "Stackhousia monogyna" 100 0.08 NA 1 NA NA 2 NA 255
"256" 26830 2021-11-02 "Stackhousia monogyna" 141 1.75 1 0 NA NA 2 NA 256
"257" 26830 2021-11-02 "Stackhousia monogyna" 142 1.86 1 1 NA NA 2 NA 257
"258" 26830 2021-11-02 "Stackhousia monogyna" 143 1.78 1 2 NA NA 2 NA 258
"259" 26830 2021-11-02 "Stackhousia monogyna" 144 1.05 1 1 NA NA 2 NA 259
"260" 26830 2021-11-02 "Stackhousia monogyna" 145 1.2 1 2 NA NA 2 NA 260
"261" 26830 2021-11-02 "Stackhousia monogyna" 93 1.46 NA 0 NA NA 2 NA 261
"262" 26830 2021-11-02 "Stackhousia monogyna" 107 1.16 NA 0 NA NA 2 NA 262
"263" 26830 2021-11-02 "Stackhousia monogyna" 108 1.02 NA 0 NA NA 2 NA 263
"264" 26830 2021-11-02 "Stackhousia monogyna" 109 0.77 NA 0 NA NA 2 NA 264
"265" 26830 2021-11-02 "Stackhousia monogyna" 110 0.69 NA 0 NA NA 2 NA 265
"266" 26830 2021-11-02 "Stackhousia monogyna" 111 0.6 NA 0 NA NA 2 NA 266
"267" 26830 2021-11-02 "Stackhousia monogyna" 112 0.65 1 1 NA NA 2 NA 267
"268" 26830 2021-11-02 "Stackhousia monogyna" 113 0.97 1 0 NA NA 2 NA 268
"269" 26830 2021-11-02 "Stackhousia monogyna" 114 1.22 1 0 NA NA 2 NA 269
"270" 26830 2021-11-02 "Stackhousia monogyna" 115 0.02 1 0 NA NA 2 NA 270
"271" 26830 2021-11-02 "Stackhousia monogyna" 116 0.13 1 2 NA NA 2 NA 271
"272" 26830 2021-11-02 "Stackhousia monogyna" 117 0.22 1 1 NA NA 2 NA 272
"273" 26830 2021-11-02 "Stackhousia monogyna" 118 0.2 1 1 NA NA 2 NA 273
"274" 26830 2021-11-02 "Stackhousia monogyna" 106 1.73 NA 1 NA NA 2 NA 274
"275" 26830 2021-11-02 "Stackhousia monogyna" 120 0.97 1 0 NA NA 2 NA 275
"276" 26830 2021-11-02 "Stackhousia monogyna" 121 1.95 1 1 NA NA 2 NA 276
"277" 26830 2021-11-02 "Stackhousia monogyna" 1 0.03 1 1 NA NA 1 NA 277
"278" 26830 2021-11-02 "Stackhousia monogyna" 83 0.14 NA 0 NA NA 2 NA 278
"279" 26830 2021-11-02 "Stackhousia monogyna" 84 0.31 NA 0 NA NA 2 NA 279
