"simID" "estD" "error"
"302" 302 9.22125 -0.77875
"303" 303 9.60875 -0.391249999999999
"304" 304 9.6425 -0.3575
"305" 305 9.435 -0.565
"306" 306 9.38 -0.619999999999999
"307" 307 9.2775 -0.7225
"308" 308 9.35625 -0.643750000000001
"309" 309 9.4575 -0.5425
"310" 310 9.4675 -0.532500000000001
"311" 311 9.4975 -0.5025
"312" 312 9.50875 -0.491250000000001
"313" 313 9.3725 -0.6275
"314" 314 9.245 -0.755000000000001
"315" 315 9.32125 -0.678750000000001
"316" 316 9.505 -0.494999999999999
"317" 317 9.61625 -0.383749999999999
"318" 318 9.36625 -0.633749999999999
"319" 319 9.38375 -0.616250000000001
"320" 320 9.525 -0.475
"321" 321 9.4575 -0.5425
"322" 322 9.695 -0.305
"323" 323 9.485 -0.515000000000001
"324" 324 9.465 -0.535
"325" 325 9.32 -0.68
"326" 326 9.18875 -0.811249999999999
"327" 327 9.45375 -0.546250000000001
"328" 328 9.655 -0.345000000000001
"329" 329 9.45625 -0.543749999999999
"330" 330 9.405 -0.595000000000001
"331" 331 9.44 -0.56
"332" 332 9.56125 -0.438750000000001
"333" 333 9.325 -0.675000000000001
"334" 334 9.47375 -0.526249999999999
"335" 335 9.4275 -0.5725
"336" 336 9.3675 -0.6325
"337" 337 9.5375 -0.4625
"338" 338 9.30875 -0.69125
"339" 339 9.4075 -0.592499999999999
"340" 340 9.56125 -0.438750000000001
"341" 341 9.43 -0.57
"342" 342 9.35625 -0.643750000000001
"343" 343 9.5825 -0.4175
"344" 344 9.26125 -0.73875
"345" 345 9.41375 -0.58625
"346" 346 9.385 -0.615
"347" 347 9.39 -0.609999999999999
"348" 348 9.3075 -0.692500000000001
"349" 349 9.46375 -0.536250000000001
"350" 350 9.43875 -0.561249999999999
"351" 351 9.45125 -0.54875
"352" 352 9.55625 -0.44375
"353" 353 9.49625 -0.50375
"354" 354 9.465 -0.535
"355" 355 9.45875 -0.54125
"356" 356 9.5025 -0.4975
"357" 357 9.4225 -0.577500000000001
"358" 358 9.295 -0.705
"359" 359 9.35875 -0.641249999999999
"360" 360 9.3025 -0.6975
"361" 361 9.23125 -0.768750000000001
"362" 362 9.39125 -0.608750000000001
"363" 363 9.52875 -0.47125
"364" 364 9.3725 -0.6275
"365" 365 9.40625 -0.59375
"366" 366 9.34625 -0.65375
"367" 367 9.60625 -0.393750000000001
"368" 368 9.4125 -0.5875
"369" 369 9.55375 -0.446249999999999
"370" 370 9.53625 -0.463749999999999
"371" 371 9.5 -0.5
"372" 372 9.38 -0.619999999999999
"373" 373 9.57625 -0.42375
"374" 374 9.495 -0.505000000000001
"375" 375 9.33 -0.67
"376" 376 9.52625 -0.473750000000001
"377" 377 9.44625 -0.553750000000001
"378" 378 9.505 -0.494999999999999
"379" 379 9.3 -0.699999999999999
"380" 380 9.26375 -0.73625
"381" 381 9.565 -0.435
"382" 382 9.4225 -0.577500000000001
"383" 383 9.5125 -0.487500000000001
"384" 384 9.39625 -0.60375
"385" 385 9.505 -0.494999999999999
"386" 386 9.58375 -0.41625
"387" 387 9.5725 -0.4275
"388" 388 9.4825 -0.5175
"389" 389 9.3675 -0.6325
"390" 390 9.25125 -0.748749999999999
"391" 391 9.53125 -0.46875
"392" 392 9.31 -0.69
"393" 393 9.48875 -0.51125
"394" 394 9.4675 -0.532500000000001
"395" 395 9.38625 -0.61375
"396" 396 9.3725 -0.6275
"397" 397 9.2225 -0.7775
"398" 398 9.39625 -0.60375
"399" 399 9.3275 -0.672499999999999
"400" 400 9.33125 -0.668749999999999
"401" 401 9.465 -0.535
"402" 402 9.41625 -0.58375
"403" 403 9.65125 -0.348750000000001
"404" 404 9.305 -0.695
"405" 405 9.49 -0.51
"406" 406 9.4925 -0.5075
"407" 407 9.305 -0.695
"408" 408 9.48875 -0.51125
"409" 409 9.52375 -0.47625
"410" 410 9.465 -0.535
"411" 411 9.43625 -0.563750000000001
"412" 412 9.41375 -0.58625
"413" 413 9.2925 -0.7075
"414" 414 9.43125 -0.56875
"415" 415 9.37 -0.630000000000001
"416" 416 9.205 -0.795
"417" 417 9.54875 -0.45125
"418" 418 9.61625 -0.383749999999999
"419" 419 9.27625 -0.723750000000001
"420" 420 9.4475 -0.5525
"421" 421 9.4625 -0.5375
"422" 422 9.28375 -0.71625
"423" 423 9.16 -0.84
"424" 424 9.38875 -0.61125
"425" 425 9.4275 -0.5725
"426" 426 9.3575 -0.6425
"427" 427 9.45125 -0.54875
"428" 428 9.24625 -0.75375
"429" 429 9.3925 -0.6075
"430" 430 9.505 -0.494999999999999
"431" 431 9.4975 -0.5025
"432" 432 9.3875 -0.612500000000001
"433" 433 9.38125 -0.61875
"434" 434 9.23375 -0.766249999999999
"435" 435 9.5425 -0.4575
"436" 436 9.41875 -0.581250000000001
"437" 437 9.19625 -0.803750000000001
"438" 438 9.15375 -0.84625
"439" 439 9.665 -0.335000000000001
"440" 440 9.2925 -0.7075
"441" 441 9.30625 -0.69375
"442" 442 9.455 -0.545
"443" 443 9.31125 -0.688750000000001
"444" 444 9.2525 -0.7475
"445" 445 9.38625 -0.61375
"446" 446 9.47 -0.529999999999999
"447" 447 9.46875 -0.53125
"448" 448 9.5225 -0.477499999999999
"449" 449 9.305 -0.695
"450" 450 9.3525 -0.647500000000001
"451" 451 9.4975 -0.5025
"452" 452 9.41 -0.59
"453" 453 9.38375 -0.616250000000001
"454" 454 9.5725 -0.4275
"455" 455 9.6025 -0.397500000000001
"456" 456 9.46125 -0.53875
"457" 457 9.2575 -0.7425
"458" 458 9.34125 -0.65875
"459" 459 9.39 -0.609999999999999
"460" 460 9.32125 -0.678750000000001
"461" 461 9.105 -0.895
"462" 462 9.5725 -0.4275
"463" 463 9.52125 -0.47875
"464" 464 9.405 -0.595000000000001
"465" 465 9.39 -0.609999999999999
