"simID","p","dhat"
1878,0.83,0.172307692307692
1879,0.83,0.166025641025641
1880,0.83,0.16974358974359
1881,0.83,0.156153846153846
1882,0.83,0.166282051282051
1883,0.83,0.160512820512821
1884,0.83,0.158461538461538
1885,0.83,0.167435897435897
1886,0.83,0.167435897435897
1887,0.83,0.171923076923077
1888,0.83,0.173974358974359
1889,0.83,0.160384615384615
1890,0.83,0.168076923076923
1891,0.83,0.172179487179487
1892,0.83,0.16974358974359
1893,0.83,0.176666666666667
1894,0.83,0.168974358974359
1895,0.83,0.154615384615385
1896,0.83,0.156025641025641
1897,0.83,0.170897435897436
1898,0.83,0.152948717948718
1899,0.83,0.164230769230769
1900,0.83,0.167435897435897
1901,0.83,0.16448717948718
1902,0.83,0.167435897435897
1903,0.83,0.173205128205128
1904,0.83,0.172179487179487
1905,0.83,0.166666666666667
1906,0.83,0.165
1907,0.83,0.166538461538462
1908,0.83,0.164615384615385
1909,0.83,0.171794871794872
1910,0.83,0.16448717948718
1911,0.83,0.163076923076923
1912,0.83,0.162051282051282
1913,0.83,0.165897435897436
1914,0.83,0.166794871794872
1915,0.83,0.169230769230769
1916,0.83,0.173846153846154
1917,0.83,0.165128205128205
1918,0.83,0.167948717948718
1919,0.83,0.165512820512821
1920,0.83,0.165641025641026
1921,0.83,0.166025641025641
1922,0.83,0.165384615384615
1923,0.83,0.164102564102564
1924,0.83,0.167564102564103
1925,0.83,0.175128205128205
1926,0.83,0.166410256410256
1927,0.83,0.168461538461538
1928,0.83,0.166153846153846
1929,0.83,0.171538461538462
1930,0.83,0.170128205128205
1931,0.83,0.165769230769231
1932,0.83,0.166923076923077
1933,0.83,0.163205128205128
1934,0.83,0.162179487179487
1935,0.83,0.162435897435897
1936,0.83,0.165897435897436
1937,0.83,0.168974358974359
1938,0.83,0.168846153846154
1939,0.83,0.168333333333333
1940,0.83,0.171282051282051
1941,0.83,0.167051282051282
1942,0.83,0.161538461538462
1943,0.83,0.166153846153846
1944,0.83,0.158589743589744
1945,0.83,0.161538461538462
1946,0.83,0.166923076923077
1947,0.83,0.166794871794872
1948,0.83,0.168974358974359
1949,0.83,0.177307692307692
1950,0.83,0.164358974358974
1951,0.83,0.160384615384615
1952,0.83,0.165128205128205
1953,0.83,0.173846153846154
1954,0.83,0.165641025641026
1955,0.83,0.159871794871795
1956,0.83,0.162692307692308
1957,0.83,0.166538461538462
1958,0.83,0.16474358974359
1959,0.83,0.168846153846154
1960,0.83,0.165769230769231
1961,0.83,0.168333333333333
1962,0.83,0.160512820512821
1963,0.83,0.161282051282051
1964,0.83,0.162307692307692
1965,0.83,0.161025641025641
1966,0.83,0.169487179487179
1967,0.83,0.166025641025641
1968,0.83,0.162435897435897
1969,0.83,0.167307692307692
1970,0.83,0.173076923076923
1971,0.83,0.163717948717949
1972,0.83,0.162435897435897
1973,0.83,0.163717948717949
1974,0.83,0.156153846153846
1975,0.83,0.171923076923077
1976,0.83,0.165512820512821
1977,0.83,0.164871794871795
1978,0.83,0.165384615384615
1979,0.83,0.168974358974359
1980,0.83,0.160512820512821
1981,0.83,0.17474358974359
1982,0.83,0.167948717948718
1983,0.83,0.172564102564103
1984,0.83,0.171025641025641
1985,0.83,0.165769230769231
1986,0.83,0.167948717948718
1987,0.83,0.171282051282051
1988,0.83,0.161923076923077
1989,0.83,0.172051282051282
1990,0.83,0.167564102564103
1991,0.83,0.160512820512821
1992,0.83,0.166153846153846
1993,0.83,0.163333333333333
1994,0.83,0.166666666666667
1995,0.83,0.165641025641026
1996,0.83,0.165897435897436
1997,0.83,0.160512820512821
1998,0.83,0.169230769230769
1999,0.83,0.167820512820513
2000,0.83,0.164615384615385
2001,0.83,0.176153846153846
2002,0.83,0.164615384615385
2003,0.83,0.177948717948718
2004,0.83,0.166153846153846
2005,0.83,0.161025641025641
2006,0.83,0.162307692307692
2007,0.83,0.169230769230769
2008,0.83,0.171538461538462
2009,0.83,0.167435897435897
2010,0.83,0.169487179487179
2011,0.83,0.165128205128205
2012,0.83,0.165
2013,0.83,0.175897435897436
2014,0.83,0.168589743589744
2015,0.83,0.168205128205128
2016,0.83,0.173333333333333
2017,0.83,0.168461538461538
2018,0.83,0.171538461538462
2019,0.83,0.17
2020,0.83,0.153974358974359
2021,0.83,0.16448717948718
2022,0.83,0.171538461538462
2023,0.83,0.168076923076923
2024,0.83,0.172564102564103
2025,0.83,0.172564102564103
2026,0.83,0.163076923076923
2027,0.83,0.162564102564103
2028,0.83,0.16474358974359
2029,0.83,0.164102564102564
2030,0.83,0.161666666666667
2031,0.83,0.17474358974359
2032,0.83,0.162948717948718
2033,0.83,0.15974358974359
2034,0.83,0.162692307692308
2035,0.83,0.161794871794872
2036,0.83,0.167820512820513
2037,0.83,0.162564102564103
2038,0.83,0.16
2039,0.83,0.164102564102564
2040,0.83,0.167179487179487
2041,0.83,0.175641025641026
2042,0.83,0.174871794871795
2043,0.83,0.164615384615385
2044,0.83,0.167820512820513
2045,0.83,0.164871794871795
2046,0.83,0.165384615384615
2047,0.83,0.167179487179487
2048,0.83,0.162692307692308
2049,0.83,0.169487179487179
2050,0.83,0.166923076923077
2051,0.83,0.164230769230769
2052,0.83,0.168333333333333
2053,0.83,0.168333333333333
2054,0.83,0.171923076923077
2055,0.83,0.161410256410256
2056,0.83,0.17
2057,0.83,0.162820512820513
2058,0.83,0.168076923076923
2059,0.83,0.166666666666667
2060,0.83,0.171794871794872
2061,0.83,0.166410256410256
2062,0.83,0.167051282051282
2063,0.83,0.165128205128205
2064,0.83,0.162435897435897
2065,0.83,0.171282051282051
2066,0.83,0.161153846153846
2067,0.83,0.163717948717949
2068,0.83,0.165
2069,0.83,0.171025641025641
2070,0.83,0.165384615384615
2071,0.83,0.163589743589744
2072,0.83,0.167307692307692
2073,0.83,0.164358974358974
2074,0.83,0.168076923076923
2075,0.83,0.161410256410256
2076,0.83,0.16
2077,0.83,0.161666666666667
2078,0.83,0.159487179487179
2079,0.83,0.163333333333333
2080,0.83,0.167307692307692
2081,0.83,0.166538461538462
2082,0.83,0.164871794871795
2083,0.83,0.168076923076923
2084,0.83,0.166538461538462
2085,0.83,0.171794871794872
2086,0.83,0.165641025641026
2087,0.83,0.154230769230769
2088,0.83,0.16448717948718
2089,0.83,0.166538461538462
2090,0.83,0.16974358974359
2091,0.83,0.165128205128205
2092,0.83,0.165512820512821
2093,0.83,0.156410256410256
2094,0.83,0.166538461538462
2095,0.83,0.158076923076923
2096,0.83,0.171923076923077
2097,0.83,0.166025641025641
2098,0.83,0.163717948717949
2099,0.83,0.168589743589744
2100,0.83,0.155897435897436
2101,0.83,0.168589743589744
2102,0.83,0.172051282051282
2103,0.83,0.16025641025641
2104,0.83,0.161538461538462
2105,0.83,0.161666666666667
2106,0.83,0.170897435897436
2107,0.83,0.174487179487179
2108,0.83,0.167179487179487
2109,0.83,0.171282051282051
2110,0.83,0.17474358974359
2111,0.83,0.167692307692308
2112,0.83,0.152435897435897
2113,0.83,0.162179487179487
2114,0.83,0.162435897435897
2115,0.83,0.175384615384615
2116,0.83,0.160641025641026
2117,0.83,0.171538461538462
2118,0.83,0.160128205128205
2119,0.83,0.157564102564103
2120,0.83,0.161923076923077
2121,0.83,0.166538461538462
2122,0.83,0.164230769230769
