"method" "idx" "estD" "seD" "cvD" "p" "detfunc"
"94" "LTS" 94 0.0923879283663483 0.0176800755152601 0.191367809928077 0.71252977631484 "uniform key function with cosine(1) adjustments"
"95" "LTS" 95 0.248808576690982 0.079036322514072 0.31765915614812 0.848743647038575 "hazard-rate key function"
"96" "LTS" 96 0.309872617584687 0.0735461183193998 0.237343069848048 0.858928211882399 "half-normal key function"
"97" "LTS" 97 0.140472622900801 0.0609477802558581 0.433876573223086 0.804106862016572 "uniform key function with cosine(1) adjustments"
"98" "LTS" 98 0.169573959551867 0.0483107700714451 0.284894981511996 0.974351539770708 "hazard-rate key function"
"99" "LTS" 99 0.150791526740935 0.0601775856646003 0.399078031539447 0.800741279100145 "uniform key function with cosine(1) adjustments"
"100" "LTS" 100 0.122822332778939 0.0294289360422358 0.239605740881045 0.576109939175495 "uniform key function with cosine(1,2,3) adjustments"
"101" "LTS" 101 0.183500976843638 0.0695037420828214 0.378764970510461 0.682771115564283 "uniform key function with cosine(1) adjustments"
"102" "LTS" 102 0.175746312273856 0.0653714306773614 0.371964736167531 0.936370999031655 "half-normal key function"
"103" "LTS" 103 0.101765048073846 0.052741963578148 0.518271887808431 0.977122344110207 "half-normal key function"
"104" "LTS" 104 0.135207948320634 0.0556655172074858 0.411702994527213 0.865284856997734 "hazard-rate key function"
"105" "LTS" 105 0.191029888306709 0.0724304086866298 0.379157467601818 0.654162468716393 "half-normal key function with cosine(2,3) adjustments"
"106" "LTS" 106 0.074020106564871 0.0261564973865175 0.35337016657216 0.629583313578116 "uniform key function with cosine(1,2,3) adjustments"
"107" "LTS" 107 0.15373089330404 0.0720060337685285 0.468390134350675 0.698864626518826 "uniform key function with cosine(1) adjustments"
"108" "LTS" 108 0.0917516162144139 0.0204245248817673 0.22260670410467 0.771203490315745 "uniform key function with cosine(1) adjustments"
"109" "LTS" 109 0.0723151899977154 0.0174218792234918 0.240915901957005 0.963128010600727 "uniform key function with cosine(1) adjustments"
"110" "LTS" 110 0.218570266016878 0.0827069268648053 0.378399717271785 0.743999872276511 "uniform key function with cosine(1) adjustments"
"111" "LTS" 111 0.169855940161548 0.0704631710151568 0.414840781830416 0.691757771644104 "uniform key function with cosine(1) adjustments"
"112" "LTS" 112 0.0831690071600572 0.0164520290078855 0.197814421136757 0.823468809739802 "uniform key function with cosine(1) adjustments"
"113" "LTS" 113 0.123855978013012 0.0331188127690904 0.267397773610983 0.579163943617887 "uniform key function with cosine(1,2,3) adjustments"
"114" "LTS" 114 0.104622871772395 0.0723820627263631 0.691837850559381 0.747569341967341 "uniform key function with cosine(1) adjustments"
"115" "LTS" 115 0.0576819786645665 0.0173953035323117 0.301572587054776 0.977401117185536 "uniform key function with cosine(1) adjustments"
"116" "LTS" 116 0.135026672188206 0.0459633552713317 0.340402044473598 0.968749960385668 "uniform key function with cosine(1) adjustments"
