simID,n_obs,est_D,est_sigm,est_p,ER,se.ER,error
129,700,4.065643748,1.26900367,0.703765388,11.44503741,0.377262663,0.041237596
130,650,4.313214638,1.189307223,0.615986893,10.62753474,0.482734916,0.288808485
131,698,4.045712873,1.273440436,0.705211767,11.4123373,0.526888624,0.02130672
132,691,4.273914016,1.148202559,0.660863022,11.29788693,0.417056236,0.249507864
133,643,3.940856614,1.16414403,0.666928881,10.51308436,0.517755649,-0.083549539
134,710,4.0551838,1.306315764,0.715660406,11.60853794,0.363829071,0.030777647
135,679,4.299213267,1.109415109,0.64556499,11.10168629,0.406308442,0.274807114
136,640,3.905754519,1.171762949,0.669783146,10.4640342,0.479285396,-0.118651634
137,709,4.238118837,1.210357052,0.683805029,11.59218789,0.332992874,0.213712684
138,697,4.374923031,1.123503149,0.651210728,11.39598725,0.354863575,0.350516878
139,689,4.164773178,1.189229148,0.676218508,11.26518682,0.444655534,0.140367025
140,694,3.992521515,1.289932205,0.710511956,11.34693709,0.485248979,-0.031884638
141,656,3.76543086,1.294984927,0.71211207,10.72563506,0.423798327,-0.258975293
142,692,4.195559608,1.183650327,0.674179254,11.31423698,0.511441265,0.171153456
143,672,3.810522129,1.32320569,0.720848452,10.98723591,0.394650019,-0.213884024
144,702,4.694118504,1.145829703,0.611282901,11.47773751,0.36250919,0.669712351
145,639,3.815359689,1.212550951,0.684580551,10.44768415,0.383671056,-0.209046463
146,658,3.997971665,1.179729845,0.672737082,10.75833516,0.460811928,-0.026434488
147,645,3.797412729,1.240535922,0.694274314,10.54578447,0.4064899,-0.226993424
148,679,4.360477851,1.087302143,0.636494821,11.10168629,0.422327576,0.336071699
149,665,4.011574852,1.193000109,0.67758835,10.87278554,0.410775983,-0.012831301
150,681,4.247660426,1.133933189,0.655324654,11.13438639,0.37859198,0.223254274
151,696,4.092733351,1.243005581,0.695112301,11.37963719,0.369909641,0.068327198
152,667,3.853481148,1.280541885,0.707508693,10.90548564,0.350156606,-0.170925004
153,657,4.178487953,1.102352033,0.642695709,10.74198511,0.336188709,0.1540818
154,677,3.912337733,1.279933539,0.707312797,11.06898618,0.413192465,-0.11206842
155,659,3.983808057,1.189054482,0.676154891,10.77468522,0.471812837,-0.040598096
156,685,4.195956554,1.165120721,0.667296388,11.19978661,0.367421754,0.171550401
157,697,4.368902812,1.125766176,0.652108077,11.39598725,0.342167798,0.344496659
158,689,4.122221787,1.20864638,0.683198734,11.26518682,0.432677635,0.097815634
159,671,4.196768196,1.12937036,0.653531798,10.97088586,0.521905137,0.172362043
160,680,3.752438299,1.239044097,0.740720796,11.11803634,0.445183857,-0.271967854
161,705,4.028472048,1.305261217,0.715332484,11.52678767,0.391942931,0.004065896
162,698,4.214691966,1.19120689,0.676937804,11.4123373,0.436147048,0.190285813
163,696,4.081366162,1.248743011,0.697048289,11.37963719,0.408288762,0.056960009
164,694,4.157953242,1.205957569,0.682242947,11.34693709,0.411213343,0.133547089
165,666,4.173067797,1.126367197,0.652345955,10.88913559,0.466458467,0.148661645
166,640,3.626604164,1.174793206,0.721338319,10.4640342,0.414295309,-0.397801989
167,668,4.316209725,1.210039212,0.632605712,10.9218357,0.481358075,0.291803572
168,670,4.010284212,1.207812567,0.682902709,10.9545358,0.42549153,-0.014121941
169,697,4.262986181,1.167821391,0.668310121,11.39598725,0.442285906,0.238580028
170,711,4.215081474,1.226568243,0.689481809,11.624888,0.443825527,0.190675321
171,693,3.918165168,1.179935113,0.722952361,11.33058703,0.549203709,-0.106240985
172,631,3.55706761,1.337336181,0.725097528,10.31688372,0.450831887,-0.467338543
173,711,4.178991345,1.243962469,0.695436233,11.624888,0.404033333,0.154585193
174,633,4.442411616,1.140893216,0.582430486,10.34958383,0.360021371,0.418005464
175,665,4.237683937,1.099267356,0.641434431,10.87278554,0.324240919,0.213277784
176,670,3.856914096,1.288506079,0.710058322,10.9545358,0.388102288,-0.167492057
177,676,3.954143276,1.25397592,0.698800938,11.05263613,0.372393284,-0.070262877
178,708,5.099920278,1.143722262,0.567451901,11.57583784,0.407746546,1.075514125
179,678,4.070855854,1.201844814,0.680774303,11.08533623,0.398138243,0.046449702
180,679,3.982427511,1.248352616,0.696917035,11.10168629,0.380292543,-0.041978642
181,657,3.756393564,1.303915874,0.714913449,10.74198511,0.440196782,-0.268012589
182,678,4.265803881,1.119614937,0.649662792,11.08533623,0.335571207,0.241397728
